Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging devices at all speeds by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,
,,Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",,,,,,,,,,,,
E10000024,Nottinghamshire,223,26.8,187,22.6,177,21.4,159,19.2,159,19.2,150,18.2,140,17.0,107,13.0,,,,,,,,,,,,
E07000170,Ashfield,21,16.4,21,16.4,18,14.1,18,14.1,18,14.1,17,13.4,18,14.2,8,6.3,,,,,,,,,,,,
E07000171,Bassetlaw,31,26.2,31,26.4,31,26.4,24,20.4,25,21.3,25,21.4,20,17.1,14,12.0,,,,,,,,,,,,
E07000172,Broxtowe,34,29.7,30,26.3,30,26.3,28,24.6,28,24.6,28,24.7,27,23.8,27,23.8,,,,,,,,,,,,
E07000173,Gedling,32,27.1,20,17.0,20,17.0,18,15.3,18,15.3,18,15.3,17,14.4,14,11.9,,,,,,,,,,,,
E07000174,Mansfield,27,24.7,27,24.7,25,22.9,18,16.5,16,14.6,15,13.8,17,15.6,10,9.2,,,,,,,,,,,,
E07000175,Newark and Sherwood,36,29.2,34,27.8,34,27.8,34,27.8,35,28.6,31,25.5,26,21.4,19,15.6,,,,,,,,,,,,
E07000176,Rushcliffe,42,34.6,24,20.1,19,15.9,19,15.9,19,15.9,16,13.6,15,12.7,15,12.7,,,,,,,,,,,,
E12000005,WEST MIDLANDS,"1,591",26.7,"1,319",22.2,"1,215",20.5,"1,141",19.2,"1,030",17.4,984,16.7,891,15.1,815,13.8,,,,,,,,,,,,
E06000019,"Herefordshire, County of",64,33.1,63,32.7,63,32.7,60,31.1,56,29.0,56,29.2,53,27.6,47,24.5,,,,,,,,,,,,
E06000051,Shropshire,62,19.1,59,18.3,58,17.9,55,17.0,55,17.0,51,15.9,45,14.1,38,11.9,,,,,,,,,,,,
E06000021,Stoke-on-Trent,38,14.8,38,14.8,36,14.0,33,12.9,29,11.3,28,10.9,21,8.2,24,9.4,,,,,,,,,,,,
E06000020,Telford and Wrekin,30,16.5,26,14.5,25,13.9,24,13.3,24,13.3,23,12.9,17,9.6,13,7.3,,,,,,,,,,,,
E10000028,Staffordshire,196,22.2,188,21.4,177,20.1,161,18.3,124,14.1,121,13.8,113,12.9,105,12.0,,,,,,,,,,,,
E07000192,Cannock Chase,24,23.6,19,18.9,16,15.9,13,12.9,13,12.9,13,13.0,11,11.0,9,9.0,,,,,,,,,,,,
E07000193,East Staffordshire,21,17.4,20,16.7,19,15.9,17,14.2,15,12.5,15,12.7,14,11.8,12,10.1,,,,,,,,,,,,
E07000194,Lichfield,16,15.1,17,16.2,15,14.3,15,14.3,15,14.3,15,14.4,14,13.5,12,11.5,,,,,,,,,,,,
